location,lat,lon,mention_count,entertainment_score_mean,entertainment_score_present_share,entertainment_score_strong_share,entertainment_score_sum,bad_news_score_mean,bad_news_score_present_share,bad_news_score_strong_share,bad_news_score_sum,magnitude_score_mean,magnitude_score_present_share,magnitude_score_strong_share,magnitude_score_sum,good_news_score_mean,good_news_score_present_share,good_news_score_strong_share,good_news_score_sum,celebrity_score_mean,celebrity_score_present_share,celebrity_score_strong_share,celebrity_score_sum,power_elite_score_mean,power_elite_score_present_share,power_elite_score_strong_share,power_elite_score_sum,dominant_news_values,dominant_map_category
't Zandt,53.3659206,6.7741,4,0.0,0.0,0.0,0,75.0,0.75,0.75,300,100.0,1.0,1.0,400,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,magnitude,magnitude
Aadorp,52.3758825,6.6296026,1,100.0,1.0,1.0,100,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,entertainment,entertainment
Aalsmeer,52.2669442,4.7493384,24,4.166666666666667,0.041666666666666664,0.041666666666666664,100,29.166666666666668,0.2916666666666667,0.2916666666666667,700,31.25,0.4583333333333333,0.16666666666666666,750,0.0,0.0,0.0,0,0.0,0.0,0.0,0,14.583333333333334,0.2916666666666667,0.0,350,magnitude,magnitude
Aalst,51.7830377,5.1270132,15,0.0,0.0,0.0,0,13.333333333333334,0.13333333333333333,0.13333333333333333,200,6.666666666666667,0.13333333333333333,0.0,100,0.0,0.0,0.0,0,0.0,0.0,0.0,0,10.0,0.13333333333333333,0.06666666666666667,150,bad_news,bad_news
Aalten,51.9285963,6.5810265,11,18.181818181818183,0.18181818181818182,0.18181818181818182,200,27.272727272727273,0.2727272727272727,0.2727272727272727,300,22.727272727272727,0.36363636363636365,0.09090909090909091,250,36.36363636363637,0.36363636363636365,0.36363636363636365,400,13.636363636363637,0.18181818181818182,0.09090909090909091,150,9.090909090909092,0.18181818181818182,0.0,100,good_news,good_news
Aarle-Rixtel,51.5093107,5.6375541,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,50.0,0.5,0.5,100,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,magnitude,magnitude
Aartswoud,52.7427998,4.9497109,1,0.0,0.0,0.0,0,100.0,1.0,1.0,100,50.0,1.0,0.0,50,0.0,0.0,0.0,0,0.0,0.0,0.0,0,50.0,1.0,0.0,50,bad_news,bad_news
Abbenes,52.2342597,4.5913726,5,0.0,0.0,0.0,0,60.0,0.6,0.6,300,30.0,0.6,0.0,150,0.0,0.0,0.0,0,0.0,0.0,0.0,0,30.0,0.6,0.0,150,bad_news,bad_news
Abcoude,52.270281,4.9710427,89,1.1235955056179776,0.011235955056179775,0.011235955056179775,100,58.42696629213483,0.5842696629213483,0.5842696629213483,5200,34.26966292134831,0.6292134831460674,0.056179775280898875,3050,0.0,0.0,0.0,0,0.0,0.0,0.0,0,27.528089887640448,0.550561797752809,0.0,2450,bad_news,bad_news
Achterberg,51.9726942,5.5862984,6,0.0,0.0,0.0,0,16.666666666666668,0.16666666666666666,0.16666666666666666,100,41.666666666666664,0.5,0.3333333333333333,250,0.0,0.0,0.0,0,0.0,0.0,0.0,0,8.333333333333334,0.16666666666666666,0.0,50,magnitude,magnitude
Achtmaal,51.4537245,4.5842818,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,none,none
Acquoy,51.8802989,5.1342796,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,none,none
Aerdt,51.8937415,6.0844773,1,0.0,0.0,0.0,0,100.0,1.0,1.0,100,50.0,1.0,0.0,50,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,bad_news,bad_news
Akkrum,53.0501248,5.8362304,3,0.0,0.0,0.0,0,66.66666666666667,0.6666666666666666,0.6666666666666666,200,33.333333333333336,0.6666666666666666,0.0,100,0.0,0.0,0.0,0,0.0,0.0,0.0,0,16.666666666666668,0.3333333333333333,0.0,50,bad_news,bad_news
Akmarijp,53.0046898,5.7884469,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,none,none
Albergen,52.3708449,6.7637994,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,none,none
Alblasserdam,51.865799,4.6653953,7,14.285714285714286,0.14285714285714285,0.14285714285714285,100,28.571428571428573,0.2857142857142857,0.2857142857142857,200,14.285714285714286,0.2857142857142857,0.0,100,0.0,0.0,0.0,0,0.0,0.0,0.0,0,42.857142857142854,0.5714285714285714,0.2857142857142857,300,power_elite,power_elite
Aldeboarn,53.0468455,5.8883892,4,0.0,0.0,0.0,0,50.0,0.5,0.5,200,25.0,0.5,0.0,100,0.0,0.0,0.0,0,0.0,0.0,0.0,0,25.0,0.5,0.0,100,bad_news,bad_news
Alkmaar,52.6312592,4.7503798,170,6.470588235294118,0.06470588235294118,0.06470588235294118,1100,24.705882352941178,0.24705882352941178,0.24705882352941178,4200,21.764705882352942,0.3411764705882353,0.09411764705882353,3700,12.941176470588236,0.13529411764705881,0.12352941176470589,2200,1.4705882352941178,0.01764705882352941,0.011764705882352941,250,14.117647058823529,0.2529411764705882,0.029411764705882353,2400,bad_news,bad_news
Almelo,52.3563585,6.6636219,107,5.607476635514018,0.056074766355140186,0.056074766355140186,600,19.626168224299064,0.19626168224299065,0.19626168224299065,2100,16.35514018691589,0.2523364485981308,0.07476635514018691,1750,23.83177570093458,0.24299065420560748,0.2336448598130841,2550,0.0,0.0,0.0,0,15.42056074766355,0.24299065420560748,0.06542056074766354,1650,good_news,good_news
Almere,52.3705038,5.2185859,142,6.338028169014085,0.06338028169014084,0.06338028169014084,900,24.64788732394366,0.24647887323943662,0.24647887323943662,3500,18.309859154929576,0.3028169014084507,0.06338028169014084,2600,6.338028169014085,0.06338028169014084,0.06338028169014084,900,0.352112676056338,0.007042253521126761,0.0,50,13.028169014084508,0.23943661971830985,0.02112676056338028,1850,bad_news,bad_news
Alphen,51.8233464,5.4708078,39,2.5641025641025643,0.02564102564102564,0.02564102564102564,100,56.41025641025641,0.5641025641025641,0.5641025641025641,2200,37.17948717948718,0.6666666666666666,0.07692307692307693,1450,10.256410256410257,0.10256410256410256,0.10256410256410256,400,1.2820512820512822,0.02564102564102564,0.0,50,25.641025641025642,0.48717948717948717,0.02564102564102564,1000,bad_news,bad_news
Altena,53.1323749,6.4749061,4,50.0,0.5,0.5,200,25.0,0.25,0.25,100,25.0,0.5,0.0,100,25.0,0.25,0.25,100,0.0,0.0,0.0,0,12.5,0.25,0.0,50,entertainment,entertainment
America,51.4371483,5.9799001,8,0.0,0.0,0.0,0,62.5,0.625,0.625,500,43.75,0.75,0.125,350,0.0,0.0,0.0,0,12.5,0.125,0.125,100,56.25,0.875,0.25,450,bad_news,bad_news
Amerongen,52.000487,5.4600535,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,none,none
Amersfoort,52.1562499,5.3896944,112,3.5714285714285716,0.03571428571428571,0.03571428571428571,400,27.678571428571427,0.2767857142857143,0.2767857142857143,3100,16.517857142857142,0.30357142857142855,0.026785714285714284,1850,7.142857142857143,0.07142857142857142,0.07142857142857142,800,0.8928571428571429,0.008928571428571428,0.008928571428571428,100,12.053571428571429,0.24107142857142858,0.0,1350,bad_news,bad_news
Amstelveen,52.3028209,4.8596844,57,10.526315789473685,0.10526315789473684,0.10526315789473684,600,15.789473684210526,0.15789473684210525,0.15789473684210525,900,21.05263157894737,0.2982456140350877,0.12280701754385964,1200,24.56140350877193,0.24561403508771928,0.24561403508771928,1400,7.017543859649122,0.07017543859649122,0.07017543859649122,400,9.649122807017545,0.17543859649122806,0.017543859649122806,550,good_news,good_news
Amsterdam,52.3730796,4.8924534,2335,16.573875802997858,0.16616702355460386,0.16531049250535332,38700,28.008565310492504,0.28008565310492506,0.28008565310492506,65400,19.93576017130621,0.3576017130620985,0.041113490364025694,46550,11.156316916488223,0.1139186295503212,0.10920770877944326,26050,6.167023554603855,0.0702355460385439,0.05310492505353319,14400,15.974304068522484,0.2907922912205567,0.028693790149892935,37300,bad_news,bad_news
Andel,51.7836518,5.0539136,1,100.0,1.0,1.0,100,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,entertainment,entertainment
Andelst,51.9073627,5.7289373,2,0.0,0.0,0.0,0,50.0,0.5,0.5,100,25.0,0.5,0.0,50,0.0,0.0,0.0,0,0.0,0.0,0.0,0,25.0,0.5,0.0,50,bad_news,bad_news
Andijk,52.7467338,5.2217929,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,none,none
Ane,52.6139362,6.6516811,2,0.0,0.0,0.0,0,100.0,1.0,1.0,200,50.0,1.0,0.0,100,0.0,0.0,0.0,0,0.0,0.0,0.0,0,25.0,0.5,0.0,50,bad_news,bad_news
Angerlo,51.995328,6.137023,3,0.0,0.0,0.0,0,100.0,1.0,1.0,300,50.0,1.0,0.0,150,0.0,0.0,0.0,0,0.0,0.0,0.0,0,16.666666666666668,0.3333333333333333,0.0,50,bad_news,bad_news
Ankum,52.5214404,6.2440941,23,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,none,none
Apeldoorn,52.2156457,5.9639485,211,17.53554502369668,0.1848341232227488,0.16587677725118483,3700,18.95734597156398,0.1895734597156398,0.1895734597156398,4000,18.72037914691943,0.3127962085308057,0.061611374407582936,3950,34.360189573459714,0.3459715639810427,0.3412322274881517,7250,0.9478672985781991,0.018957345971563982,0.0,200,10.90047393364929,0.1848341232227488,0.03317535545023697,2300,good_news,good_news
Appelscha,52.9524178,6.3441136,3,0.0,0.0,0.0,0,33.333333333333336,0.3333333333333333,0.3333333333333333,100,16.666666666666668,0.3333333333333333,0.0,50,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,bad_news,bad_news
Appingedam,53.3203563,6.8577654,8,0.0,0.0,0.0,0,62.5,0.625,0.625,500,62.5,0.75,0.5,500,0.0,0.0,0.0,0,0.0,0.0,0.0,0,12.5,0.25,0.0,100,magnitude,magnitude
Arcen,51.476261,6.1785077,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,100.0,1.0,1.0,200,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,magnitude,magnitude
